卡尔,560.6万
大锤哥丶云图CD,293.0万
无敌李夫人,288.3万
正恒-小顺【818】,249.1万
正恒RM洛涵,231.6万
盛世-仙女湖-池御最御,58.7万
胖炸,307.2万
晚玉,276.1万
六尾【混子】丶,272.9万
嘉易-小蝶儿【洲】,139.1万
周星星,118.9万
仙女-花前月下,16.2万
QY-小超梦,281.6万
健身房-背心浩克云图,267.7万
101DJG-昊天,230.3万
正恒丶小6【616】,107.7万
琴琴nice,102.6万
赢城-最强王者视频厅,37.0万
LING-赖神,226.3万
狼队Hurt,224.0万
楚恒-冬尔,217.4万
Mz虫虫,102.1万
正恒YJ-甜橙Yami,92.2万
仙女-恭喜发财-雨神冠,13.5万
托马斯CzH,206.7万
LING-树叶,202.5万
久爱-西西【达文西】,196.7万
DD-VVqin,98.3万
盛世-优雅,84.1万
星光-私情蜜语,24.9万
圣逸-校长,196.1万
霸哥,186.3万
爱拍-疯行兄弟,185.3万
陈翔六点半,97.2万
正恒YJ-蔓越莓,82.9万
eStar-眼里有你,60.3万
弃徒x,175.1万
AH丶天子,174.2万
Dae丶红莲,170.9万
浩哥户外,95.8万
华傲-U4,80.2万
DK-少女情愫,6.2万
MAX-老街,161.3万
巅峰-鬼岛【三指玄策】,148.3万
宏图哥,145.8万
野原新之助-,88.4万
【Miu】甜甜,78.6万
郭德纲于谦相声24小时,48.3万
DK-董系长,145.3万
英雄联盟赛事,144.3万
曜世-阿柠,131.5万
阿斗归来了,86.9万
华耀-李壹壹,74.4万
LING-觅爱巡欢,18.1万
盛世-豚豚大魔王【布】,137.9万
HT-数羊,129.3万
墨染,123.1万
鯎爺,71.0万
书香、小羊【罗舅王】,62.5万
星晴-美人,18.3万
虎丶牙莎莉,126.5万
久爱-明凯【边核亚瑟】,119.5万
神话-菜软ya【欧皇】,115.7万
小木子先生丶,66.4万
华耀-煜骐【财迷】,62.4万
GR-金凯小宇宙,39.0万
老鬼-MG,111.5万
你的声优倩【招收主播】,108.5万
寒冰【小黄鸭】,108.4万
李琪儿Honey【秋徒】,61.4万
7喜先生,54.2万
星途-魂牵梦萦,5.6万
MG-吴怼怼,107.4万
狂鸟丶阿杨-90327、,104.2万
AzZ丶小甜星,94.7万
牛小蘑菇【赢城】,59.8万
,
余温-有我真甜,28.8万
北京WB暖阳,106.1万
狂鸟丶小宇热游-90098,94.6万
董月月,87.2万
OMo爸爸去哪儿,59.4万
集梦老祝【301】,44.9万
集梦-乘风破浪,8.6万
久爱-故辞,103.4万
聆听丶虎神,86.6万
狂鸟丶小海-90327,85.3万
原野【超级玛丽】,58.7万
视觉、雁回,44.9万
ST-虎牙食堂,13.6万
M丶怀逝【李白导师】,103.2万
欢乐丶子衣,84.7万
悦风丶清歌CSGO,83.9万
正恒-汤维维【姨徒】,57.2万
DD-香菜,44.8万
乐悠-如约而至,21.3万
简讯弟弟,95.2万
AzZ丶渣渣飞,82.5万
皮皮美美,81.3万
华傲-U1,55.1万
茜茜吃粽子,44.7万
星雪-佳期如梦,6.2万
AzZ丶宇神,94.4万
狂鸟丶酥酥儿,80.9万
90121小包,80.6万
嘉易-七柚,53.3万
扁豆看电影,43.9万
魅狐-筱郡主,34.3万
起点-初心,84.5万
AH丶小炜,79.4万
星辰丶乐天,79.3万
赢城-文西原【627】,52.7万
周七姑娘,42.9万
视觉丶果果,30.3万
桐年-24h无敌效率带粉,83.5万
AG包子,76.2万
AH丶无敌,74.9万
李六六灬,52.5万
颜色-歌神在石250,42.6万
民谣老邱,29.1万
流年-执念、【291】,82.2万
AH丶无敌,74.8万
织梦-飘渺阿青,74.6万
GR-杉杉,51.5万
户外丶老李,37.6万
口口甜,28.1万
小潮【全能射手】,79.9万
巨鲨-章鱼烧,73.9万
欢乐丶小马,72.7万
集梦小师妹【唐门】,50.4万
盛世-兴哥赶海【户外】,36.9万
Hot-芥末,27.9万
冷语工作室【效率上分】,78.5万
DK-探戈【泽】,72.7万
众乐-涂小狗【茶宝】,72.6万
沪娱-S7,48.3万
武林萌主唐小姐,35.6万
璟点台球,26.5万
电子厂-心态,75.9万
东方,71.5万
巨擎-陆宇,71.0万
集梦华嫂,47.6万
SMG最强大脑,34.6万
虎牙斯诺克,24.2万
奇盛-九月【带粉之星】,74.9万
曙望-臭臭没吃饱,70.6万
HNG-君不器,70.3万
小象-文文小婧,46.9万
视觉丶妖魅儿,34.5万
仙女-酥酥,22.3万
风尘-专注带粉,74.8万
浊白最俊朗,67.5万
暮色-沈梦瑶,66.9万
陈莫沫吖【566】,46.5万
DD-娜娜,33.0万
Zz-黑甜鹅不黑,22.1万
Sky-琉璃,72.2万
北晨有您,66.8万
可乐剑姬-上单top,66.1万
盛世-李辰雨,46.2万
瞬间爆炸,30.8万
DK-佳佳同学,20.6万
何叹息yyds,71.4万
安德罗妮丶,65.8万
心缘-汽水,65.4万
华耀-天辰【一只狼】,45.8万
-奶兔胡媛媛,30.5万
AzZ丶小蛮【殿下】,16.9万
小京-啊念,70.9万
聚梦-薄凉,65.2万
BF-剑圣西岚,64.4万
华耀-蚂蚁,44.7万
集梦倚天剑【116】,28.9万
平野以記之,16.5万
SK-紫枫,70.7万
永恒-玖辞,64.1万
神话-安小威【帅哥】,63.9万
AzZ、小Q,44.4万
DN丶小姨,27.4万
盛世-饺子ouo,16.3万
梦瑜【绝活婉儿】,69.0万
刘二妮-鑫钦,61.4万
小凯【问道】,61.2万
沪娱-新允,43.9万
,
虎牙斯诺克副舞台,16.0万
悟空24h高效率带粉,68.3万
天梦-满满酱,59.0万
剑魂小龙,58.6万
沪娱cy-小起,43.9万
-懒猪,26.5万
DK-蕾甜甜,14.9万
迷离-24小时效率带粉,67.1万
蓝新-恋爱,58.5万
玖零-王二喜,58.3万
沧娱丶千洛【276】,43.1万
蔚蔚不胖,26.3万
斩龙传奇511,14.5万
龙赛-效率工作室,66.2万
阅览弟弟冲鸭,58.3万
相思离别愁,57.9万
沪娱Cy-七月,43.1万
苏苏【顺遂无忧】,26.1万
新华网新华云直播,14.5万
言曦-【效率带粉】,66.2万
天众丶零绪,57.6万
纵横-老白,57.2万
【Miu】小肥婷,41.5万
渝华-可颂,26.1万
零度-浅小梦,13.9万
多米工作室24小时带粉,65.7万
盛世-檬小暖,57.2万
AU-一叶知秋,57.0万
星动-柒柒,40.7万
DD-小秋,25.9万
敬礼我的党,13.8万
仙樂呀【女野王】,65.2万
灵犀-小雪Baby,56.6万
悦风丶白老师,56.5万
正恒丶晴儿【琳妹】,40.7万
仙女-佐佐【佐佑】,25.3万
新华社,13.8万
国亮-专打表现分,65.0万
天众丶桃子,56.1万
零度-陌菇凉,56.0万
正恒、西西吖,40.7万
DD-七七宝,24.4万
硕的好,13.7万
久帝-小小,64.9万
烟雨丶岚灵儿,55.9万
小小贾,55.9万
白白【麻油了】,40.6万
舞动天籁,24.3万
赢城-小六六,13.2万
海思-董某人,64.8万
月下小清欢,55.6万
Dae-帽子大小姐,55.2万
【澳音】紫阁-Girl女团,40.4万
马叉虫开奔驰,24.1万
兔兔学妹11,12.8万
Dae-你的宝贝,93.8万
Vip-SASA,89.6万
赢城、小乔是乔乔,71.5万
乐享、木木子,68.5万
花城工作室3,64.5万
木头陪打6,63.4万
久娱-瞌睡兔,63.0万
Dae点唱-乐上云端,62.7万
青一【婉儿绝活】,62.3万
宇轩up,62.1万
乔治又睡不着,61.9万
SK-宁仔【宁镜】,61.6万
KPL职业联赛,61.5万
玩味-最强音域-刀妹冠,60.9万
DK唱吧-黑胶唱片,60.4万
一只小奶莎【乐享】,59.4万
亿凡-月落,59.4万
如梦-24h专业带粉,58.7万
蓝新-晨白YYDS,58.3万
繁星-怦然心动,56.2万
LING-陌路,58.2万
众游工作室-24带粉,57.6万
玩味-期遇电台,56.1万
子健【九拜记忆】莫家军,56.0万
在在工作室24小时带粉,55.2万
卓越v1,54.9万
红厂-偏偏是你,54.9万
浪徒工作室24小时带粉,54.6万
猛韦【战神】,54.6万
海思-少宇【亲哥】,54.6万
明柒柒,54.4万
曙望-汉堡,54.3万
闪火-24h效率上分,53.9万
海思猛男团丶凤白,53.8万
LING-告白气球-徐哥冠,51.8万
若影-MG,53.6万
DK-骚皮皮,53.6万
jz丶依依,53.2万
亿凡-九尾狐【王师傅】,53.0万
德莱兄弟安迪志成,53.0万
小龙女-品质陪打,52.7万
天众丶小刚,52.7万
Csc-赫本男友,51.9万
与鹿电竞-秋雨,51.9万
嘎嘣翠儿,51.8万
楚恒-萨摩,51.6万
小字本带粉主播团,51.5万
善意【效率带粉】,51.5万
Yaq-花花世界,48.9万
美阳【校傲江湖】,50.7万
锦鲤-一纸情书,50.6万
沐风Up,50.4万
老樊国服带粉车队,50.3万
尚娱丶小瑞宝,50.2万
天和、苏扶佳,50.0万
头号玩家大白,50.0万
kamikamiO,49.7万
皮皮限,49.4万
Yaq点唱-纵享音悦,49.2万
星河-阿汤哥,49.1万
MAX-CSGO叶秋,49.1万
As-明日之星,48.9万
西北战神【24h带粉】,48.7万
狂鸟丶村长-90427,48.7万
男神白,48.3万
富贵儿【企鹅互娱】,48.3万
傲辰-骚坤,48.2万
qs-声优女神,48.1万
烟雨丶陈年,48.1万
虎牙冯宝一哥,48.0万
DP-浪浪效率带粉,47.9万
诺米-茄子,47.9万
云天N,47.9万
星耀丶尐乄乖,47.9万
涂山恩可可o,47.8万
沪娱-王者降临,47.6万
曜百万24h带粉,47.5万
蓝云-夏花依旧,47.5万
BTM丶七童鞋QaQ,47.3万
球节奏,47.2万
SZ-好好先生,47.1万
巅峰-零梦,47.0万
久爱-酷萱,47.0万
狂鸟丶权威-90327,46.8万
不可逾月,46.8万
巅峰-奈何,46.8万
问道-西门庆【招主播】,46.8万
AzZ丶冰封,46.6万
乐琪-菠萝甜心,46.6万
MAX-九月,46.4万
尚娱-阿楸,46.4万
萧晨,46.3万
甜咛,46.3万
SRG丶余温,46.2万
焦心电竞俱乐部,46.2万
巨鲨-阿康77,46.0万
巅峰-阿乐、,46.0万
乐悠-人间值得,46.0万
诺米-晨琳,45.9万
DK-百事可樂,43.2万
卓越v2【效率上分】,45.1万
DP-烟雨【效率带粉】,45.1万
正恒YZ-阿离,44.9万
仙女-爱乐之声-泡芙冠,44.8万
ZY-阿龙,44.8万
星镜-北暖,44.7万
红厂-天天向上,44.7万
DJ-等你回家-亮哥冠,44.5万
七彩丷90058,44.4万
蜜蜂-行走cd,44.3万
AmazingJ,44.2万
LK-猫七,44.2万
虎牙丶胡鑫,44.1万
Hz-心宝哥,44.1万
【久帝】、苏苏,44.0万
仙女-你最珍貴,43.8万
大吉【大吉大利】,43.6万
巅峰-安慕夕,43.6万
不是谁的静儿呀,43.5万
Yaq-八零九零,43.5万
